,rewards,actor_losses,critic_losses,trajectory_lengths
491,236.5602784066927,-47.617966,11.089879,328
492,244.63763062244692,-47.4212,14.37361,507
493,231.67003984251514,-47.62307,12.492217,397
494,234.9508916472717,-47.59072,10.4644,329
495,235.54472967062057,-47.92693,12.341676,441
496,198.70250207763448,-48.39976,11.239078,507
497,190.1927571675825,-47.97526,14.61596,311
498,293.01556650341183,-48.46053,22.422964,293
499,240.41481484073105,-48.048885,15.153161,506
500,219.54504429767277,-48.187553,19.213165,470
501,211.38277911285667,-48.502907,11.7433605,458
502,244.41838786132024,-48.0806,17.787985,565
503,172.87366893351822,-48.223022,11.713723,947
504,187.75629424329588,-48.02791,12.571513,423
505,265.5549416758955,-48.33369,11.559409,364
506,210.65279019322222,-48.296658,11.67372,376
507,190.99527670677304,-48.25273,14.262584,727
508,274.01459317505885,-48.574783,13.490589,252
509,265.20640571537194,-48.492336,23.501432,368
510,244.69573695427823,-48.328403,13.739187,344
511,3.922056540040245,-48.246017,11.377652,202
512,222.63920999347206,-48.517666,13.64996,385
513,253.97066251575833,-48.25887,13.981876,488
514,243.40375252204376,-48.55431,16.706238,353
515,252.04920333909504,-48.732426,11.447375,240
516,-10.237801807663999,-48.358524,10.286124,204
517,37.40440790621844,-48.13822,29.191334,180
518,-223.67608486656547,-48.64969,15.817456,259
519,208.4359109098038,-48.288563,17.064861,340
520,258.2655300017164,-48.890606,16.20775,441
521,198.82747628783335,-49.05973,13.074058,399
522,254.6664334577283,-48.154156,14.901454,349
523,221.22605741362185,-48.853806,13.170394,992
524,286.29152303136254,-48.467293,11.435359,423
525,261.0020359868299,-48.780136,15.201877,309
526,270.8823495656411,-48.67135,18.11411,264
527,274.3102398357016,-49.194817,13.791354,399
528,239.9352899572055,-49.174923,12.986396,331
529,295.8609650725068,-48.28061,10.347688,232
530,205.28068132401305,-49.055145,16.041521,459
531,255.11368652727737,-49.03751,12.608647,337
532,257.9629978394547,-48.720196,12.735126,302
533,217.41733498843624,-48.5388,25.009586,538
534,15.678595784992638,-49.593895,11.883221,228
535,47.48228898416511,-49.018238,14.991611,304
536,202.78431040965336,-48.70897,15.621576,623
537,253.51647951877703,-48.978954,15.578258,397
538,262.83255596667686,-49.018993,16.687916,404
539,264.9888611917373,-48.76218,16.247614,347
540,244.58844249732016,-48.86603,16.031607,351
541,219.23523287427315,-48.967453,12.957348,358
542,255.2328810742207,-48.558876,17.588673,341
543,241.0112236097311,-49.490284,10.933772,304
544,262.8906987615582,-49.027473,25.306269,363
545,253.1052713347349,-49.009357,15.497217,430
546,259.82200759958914,-49.139927,12.787697,341
547,199.8649602921651,-48.7241,12.959906,294
548,280.9648390728455,-49.35061,12.562991,317
549,247.11175892624897,-49.40703,18.711298,233
550,239.9602851878859,-48.929234,7.701705,245
551,275.6399828988458,-49.20473,11.4551325,599
552,223.17430782678161,-49.11915,13.753814,423
553,222.68762101208517,-48.70758,12.685013,528
554,161.7740328271952,-49.405144,15.943873,281
555,-208.80789987236534,-48.95781,20.133995,183
556,192.77179833839776,-49.002922,13.03929,259
557,215.06527883623485,-49.122204,11.719198,292
558,266.8044642780857,-49.14342,14.011632,467
559,-79.06354545270422,-49.30948,19.21913,138
560,-9.364779685497965,-49.465153,14.48365,195
561,254.83956870204528,-49.173557,15.689321,339
562,240.43508343066406,-49.14212,10.768805,387
563,-27.530264727855396,-49.515095,15.611103,221
564,11.006898910203418,-48.917934,15.023197,238
565,266.72484213324515,-49.181553,9.911058,336
566,164.55356797266796,-49.665047,16.781506,371
567,192.99958964189005,-49.665,14.276489,293
568,56.506597445370204,-49.351032,12.662721,239
569,198.9309843345079,-49.708252,10.376361,417
570,-53.83237933209894,-49.56827,14.975611,203
571,0.3638293794681715,-49.658974,32.049053,203
572,260.93019347747963,-49.358723,14.227554,348
573,-19.376322865890316,-49.778736,14.05559,209
574,-2.8480512727434615,-50.488953,14.949738,161
575,286.76953108519115,-49.745495,20.795565,240
576,204.35097948001868,-50.07629,14.514772,324
577,154.6590388877051,-49.712406,14.360054,449
578,28.251005399290932,-50.028,13.811633,174
579,248.23109442578308,-49.884613,14.990193,307
580,-0.563757911543604,-50.148327,25.07117,170
581,241.5034963557655,-49.957684,16.386244,308
582,308.6370494710984,-49.968845,13.673136,313
583,207.78319556009586,-49.757973,15.336829,422
584,-16.314161506986764,-49.966606,17.911695,243
585,244.80820706875136,-49.635136,13.3206835,313
586,248.36835660559427,-49.947437,13.34254,635
587,236.17167905407175,-50.62383,13.681597,258
588,262.78531678026366,-49.60744,11.695027,215
589,232.53651808043765,-50.04537,11.010791,303
590,250.75239575040194,-50.29277,11.004632,270
591,283.1538944235667,-50.20041,19.197462,332
